Title,Framework,Hook Score,Why
"“The One Sentence That Gets You A Raise At Work”","","-99","I think this flopped because it’s too vague. What does high status mean? Does it mean a promotion? A raise? And the thumbnail text doesn’t really seem to fit with the title. This video might’ve done better if the title was about a more specific desire and the thumbnail text supported it. Maybe something like: Title: “The One Sentence That Gets You A Raise At Work” Thumbnail text: “Say This To Get A Raise” Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"it sucks, but it’ll skyrocket your energy levels…","it sucks, but it’ll (Achieve goal)…","+434","Negativity – Starting this off with “it sucks” adds some tension and fear and grabs the audience’s attention. Curiosity – This builds curiosity in two ways: It opens a loop and makes you wonder what method he’s talking about.



The contrast between “it sucks” and “it’ll skyrocket your energy levels” also builds curiosity. Desire – Most people would love to skyrocket their energy levels. Believability – By admitting that “it sucks”, it makes the bold claim of skyrocketing your energy levels more believable."
"You’re gonna be a full-time creator in 2026, here’s how","You’re gonna (Achieve goal) in (Upcoming year), here’s how","+491","Desire – This creator’s audience would love to be a full-time creator. Timeliness – This was published in December of 2025, while 2026 is on everybody’s mind."
"This One Scene Will Change How You Sell Forever","This One (Entity) Will Change How You (Activity) Forever","+1695","Curiosity – This title builds curiosity in two ways: It opens a loop and makes you want to know what this scene is.



It also opens a loop with “Change How You Sell Forever” because you don’t know what or how your selling will change. Scarcity – By focusing on just a single scene, it increases your interest in the scene. Desire – This creator’s audience would love to get better at selling."
"Megapixels DON’T Matter… But THIS Does","(Common, seemingly important thing) DON’T Matter… But THIS Does","+1958","Curiosity – This title builds curiosity in two ways: It’s counterintuitive that megapixels don’t matter.



It opens a loop and makes you wonder what “THIS” is."
"How To Get Clients To Trust You Step by Step","","-91","This title follows a classic copywriting mistake: it’s about a feature, not a benefit. Why do you care about getting clients to trust you? So you can make more sales. This title might’ve been better if it were about the end goal, like this: “How To Make More Money For Your Agency In 2026 (Step by Step)” Or, if we wanted to add some sauce: “The One Thing You Need To Make More Money As An Agency Owner” Now, do titles about benefits always outperform titles about features? Not necessarily. But you can: A/B test titles to see which one works best



Change a title if the video is not performing well with your initial title



Research before you publish your video to see if titles about your benefit or feature are doing well for your channel and your competitors. Of course, there are plenty of other possible reasons this video could’ve flopped, but those aren’t in the scope of this newsletter Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"The Secret To Growing $100,000 On A Small Farm (No Tractor Needed!)","The Secret To [Achieving a big goal] [With constraint] ([Biggest excuse eliminated])","+550","Curiosity – This title builds curiosity in two ways: Dropping the word “Secret” is a simple way to build curiosity about your topic.



There’s contrast between “$100,000” (a big gain) and “Small farm”. Desire – This creator’s audience would love to grow $100,000 on their farm. Refute objection – This title refutes two objections: “Small Farm” refutes the objection that you need a big farm to grow $100,000.



Many people might think a tractor is too big and expensive, so “(No Tractor Needed!)” resolves that."
"I Won 3 NCAA Titles…But It Cost Me Everything","I (Achieved big goal)…But It Cost Me Everything","+1399","Credibility – By starting this title with “I Won 3 NCAA Titles”, she shows you her experience and why she’s worth listening to. It also serves up this next reason that makes this title so good… Negativity – People love dramatic stories like this. Curiosity – This title builds curiosity in two ways: There’s contrast between “I Won 3 NCAA Titles” (yay) and “Cost Me Everything” (uh oh).



It opens a loop and makes you wonder what happened and what it cost her."
"What The 1% Teach Their Kids About Money","What The 1% Teach Their Kids About (Niche)","+1478","Authority – The fact that this video is about the 1% makes it feel more credible and desirable. Desire – People want to know what the 1% know about money so they can make more money, too. Curiosity – This opens a loop and makes you wonder what they teach their kids about money. Believability – The fact this is what the 1% teach their kids about money, and not what they’re trying to teach you (and potentially influence you for their gain), makes it more believable. You know they have their kids’ best interests at heart, so it feels more possible that you’ll actually get helpful information."
"The Japanese Rule That Teaches Kids Self-Discipline (Not Blind Obedience)","The [Authoritative culture] Rule That [Achieves goal] (Not [Shallow result])","+4048","Authority – Since many people view Japanese people as self-disciplined, the fact that this the “Japanese Rule” builds more trust and interest. Desire – Many parents want their kids to be more self-disciplined. Refute Objection – Many people don’t want their kids to have blind obedience, so this title refutes that objection"
"Why Every Brand Needs to Know About Pop Culture Trends To Win | Tea with GaryVee 91","","-78","Here are some of this channel’s most popular videos: “How Anyone Can Make $1M in 24 Months: Social Media & Marketing Playbook for 2026” (143K views)



“This Is How You Actually Grow in 2026: Social Media & AI Strategy” (72K views)



“The Ultimate AI Playbook for 2026: Be Early. Go All In.” (141K views) These successful videos feel like they’re all directed at creators or entrepreneurs, but this flop is directed at brands. Now this might be a more profitable video in the short term, but generally speaking, if you’re trying to maximize views and grow your channel long term, you want to make videos for one audience (in this case, brands OR creators). This helps YouTube know who to show your videos to and it makes it easier for people to binge your channel. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"How learning 7+ languages ruined my English","How (Achieving goal) ruined my (Possession)","+733","Curiosity – It’s counterintuitive that a good thing (learning 7+ languages) would have a bad result (ruining her English). Negativity – Nobody wants to ruin their native language skills, so this grabs attention."
"How Many Americans REALLY Have $1 Million or More?","How Many (People) REALLY (Have reached a milestone)?","+1006","Curiosity – This title builds curiosity by asking a question. Status – This is all about status, a benchmark, and how the audience compares to everybody else."
"9 Things You Rarely Do for Your Dog (But Should Every Day)","9 Things You Rarely Do for [Possession] (But Should Every Day)","+3160","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Curiosity – There’s contrast between “rarely” and “every day”, which builds curiosity. Every Day – Telling people about things they should do “every day” makes your video feel more specific and interesting."
"How Often Should You Wash Your Towels? I Bacteria Tested Mine!","How Often Should You (Activity)? I (Entity) Tested Mine!","+11375","Curiosity – This title builds curiosity by asking a question. Experience – This title builds trust because it isn’t just her opinion, she actually has proof and experience testing her own towels. Negativity – There’s an undertone of fear that your towels are actually grosser than you think, which makes it more important to watch this video."
"5 Biggest Social Security MYTHS of 2025","","-89","I think there are two main reasons why this flopped: 1) It was published in November of 2025. People are already thinking about 2026, so it might’ve done better if the title was “5 Biggest Social Security MYTHS of 2025”. 2) I’ve covered over 1,400 titles in this newsletter, and only 3 of those titles have the word “myth” in them. It seems like it’s just not that popular of a topic. Another title option to try instead of this list-style title would be to make the title about one of the myths. Since the last myth is that people believe the government has stolen money from Social Security, we could try something like “The Truth About The Government Stealing Money From Social Security”. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"13 Things Older Guitar Students Get WRONG (backed by science)","13 Things [Specific audience] Get WRONG (backed by science)","+844","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Negativity – Nobody wants to make a mistake or get things wrong, so this title does a great job of grabbing attention and interest. Specific Audience – Calling out a specific audience (“Older Guitar Students” in this case) makes them feel like you made the video specifically for them, so they’re more likely to click. Authority – “(backed by science)” brings some credibility to this title."
"This New Flying Vehicle from China Will Change Travel Forever","This New (Entity) from (Place) Will Change (Entity) Forever","+1236","New – People love new things. Curiosity – “Change Forever” builds curiosity because it tells you that things have changed, but not how they’ve changed. Epic – “Change Forever” also makes this title feel epic and interesting. “China” also brings a lot to this title. Some people have specific feelings about China, but it also just makes the title a little bit more specific, which makes it more interesting."
"5 Powerful Psalms You Need to Read Before the Start of A New Day","5 Powerful (Entities) You Need to (Activity) Before the Start of A New Day","+2219","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Moment – Talking about things that take place at a specific time is a great way to make a video more tangible and interesting."
"Tailors Don’t Want You to Know THIS Secret – Fix ANY Zipper in 2 Minutes!","(Authority figures) Don’t Want You to Know THIS Secret – (Achieve a goal) in (Short time frame)","+7760","Authority – Saying that tailors, the authority figures in this niche, don’t want you to know this secret makes it feel more exciting and conspirational. Curiosity – Talking about secrets is a great, simple way to build curiosity. Desire – This creator’s audience would love to fix any zipper in 2 minutes. Time Frame – The time frame of “in 2 Minutes” increases the desire and also makes this video feel more tangible and interesting."
"China’s New Mega Machine Just Broke All the Laws of Physics","","-92","Here are some of this channel’s most popular videos: “This New Flying Vehicle from China Will Change Travel Forever” (682K views)



“China’s New $1,499 Female Robot FINALLY HITS the Market” (307K views)



“This New Chinese Motorcycle Will Change Travel Forever” (435K views) These high-performing videos are all about something specific — mostly travel, but not all about travel. This packaging just seems too vague. I have no idea what I’m looking at in the thumbnail, and the title doesn’t give enough detail for me to know what this video is about. The thumbnail looks like some sort of tunneling machine, so maybe “This New Undergound Tunneling Machine from China Will Change Travel Forever” would be a better title? In summary, if your video flops, you might need to add some more detail to let the audience know what the video is about, who it’s for, and/or why they should care. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"We’ve Lost Control of AI","We’ve Lost Control of (Polarizing topic)","+379","Negativity – People love controversial and scary things like this. Curiosity – This does a great job of starting a story, but not finishing it, so you have to click and see what’s going on. Confirms suspicions – AI’s impressive improvements have often been the main conversation around AI, but there are murmurs of AI getting out of control, and this title brings that fear to the spotlight."
"Become addicted to discipline in 1 day","Become addicted to (Activity or goal) in 1 day","+602","Controversy – Instead of just saying, “how to become disciplined,” this video uses a more controversial phrase: “Become addicted to discipline.” This grabs attention and makes this video feel a little spicy. Desire – This creator’s audience wants to be more disciplined. Time Frame – The time frame of “in 1 day” does two things: It makes it more desirable because it’s such a short time frame and people like speed.



It makes this video feel more tangible and, therefore, more interesting."
"Every Hidden Advantage of Your Body Type Explained In Detail","Every Hidden Advantage of (Attribute) Explained In Detail","+2011","Curiosity – “Hidden Advantage” makes you feel like you’re getting in on a secret. Desire – This is all about the viewer and makes them feel special for being the way they are."
"How the Jeep Got Its Name (It’s Not What You Think)","How [Subject] Got Its [Attribute] (It’s Not What You Think)","+2138","Curiosity – “(It’s Not What You Think)” makes you feel like you’re getting in on an unknown secret."
"5 Ways Space Is Actually Good for You","","-77","Here are some of this channel’s high-performing videos: “Ozempic Is Both Better And Worse Than You Think” (910K views)



“We’ve Lost Control of AI” (1.7M views)



“Will Humanity Ever Reach 1 on the Kardashev Scale?” (1.6M views) This title is focused on benefits for the audience, but it seems like the audience is more interested in being entertained. But there’s another issue… The fact that space is actually good for you is kinda irrelevant, since so few of us will ever go to space. I’m probably never gonna go to space, so why do I care if it’s good for me or not? One potential way of reframing this could be, “Weird Ways Space Travel Changes The Human Body”. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"This Job Easily Makes Millionaires… Why Does Nobody Want to Do It?","This (Entity) Easily Makes (Goal)… Why Does Nobody Want to Do It?","+675","Curiosity – This asks a counterintuitive question, which builds tons of curiosity. Why wouldn’t people want to do a job that easily makes millionaires? Desire – Most people would love to easily become a millionaire."
"What No One Tells You About The Worlds Largest Guitar Factory","What No One Tells You About The Worlds Largest (Entity)","+735","FOMO & Secret – “What No One Tells You” gives you a bit of FOMO and makes you feel like you’re getting in on a secret. Epic & Extreme – Extreme things, like “World’s Largest Guitar Factory”, make videos unique and give them an epic feeling."
"The Price of Progress: What Tokyo Looks Like at 8AM","The Price of (Goal): What (Entity) Looks Like at (Specific moment in time)","+1205","Moment – Talking about specific moments (like 8 AM, in this case) does a great job of building curiosity and making a video feel tangible and more interesting. Negativity – “Price of Progress” and the thumbnail let you know this video is about a struggle, and people love a dramatic struggle."
"93% of People Grocery Shop The Wrong Way (Here’s How To Fix It!)","93% of People [Activity] The Wrong Way (Here’s How To Fix It!)","+1402","Negativity – Nobody wants to do something the wrong way, so this grabs the audience’s attention. Curiosity – This builds curiosity in two ways: It opens a loop because it doesn’t give you any specific information about the wrong way to grocery shop, or how to fix it, but it makes you want to know both of those things.



It’s counterintuitive because since when is there a wrong way to do something as simple as grocery shopping?"
"How Resting Squats Completely Healed My Body","","-72","This title isn’t bad, but apparently, the audience wasn’t into it. So what can we do? Well, maybe “resting squats” isn’t exciting enough. We could try this: “How This One Exercise Completely Healed My Body” This adds a bit of scarcity because it focuses on just one exercise and adds some curiosity because we didn’t specify what it is. It’s also possible that “Completely Healed My Body” isn’t powerful enough either. We could try this: “How This One Exercise Completely Changed My Life” Or “How This Simple Exercise Completely Changed My Life” Or “Doing This Simple Exercise Every Day Completely Changed My Life” We added some more curiosity and made it more broadly appealing by being more vague, but still focusing on the benefits. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"Weirdest LEGO Minifigures Ever Made…","Weirdest (Entities) Ever Made…","+550","Curiosity – Using words like “weirdest” (or strangest, oddest, etc) is probably the easiest way to build curiosity. Epic & Extreme- “Weirdest” and “Ever Made” gives this video an extreme and epic feel."
"Never Say These 4 Things at Work (Protect Your Job)","Never [Action] These 4 Things at [Place] (Protect Your [Possession])","+718","Warning – Warnings like this do a great job of grabbing people’s attention. List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity."
"9 Strange Habits You Pick Up in the Military","9 Strange Habits You Pick Up (in Entity)","+1693","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Strange – Using words like “strange” (or weird, odd, etc) is probably the easiest way to build curiosity."
"What Mountain Men Understood About Cold That We Forgot","What (Authority Figures) Understood About (Problem) That We Forgot","+20883","Authority – “Mountain Men” are the pros when it comes to surviving the cold. Curiosity – “That We Forgot” makes you feel like you’re getting in on a long-forgotten secret."
"The Dollar-by-Dollar Plan to Your First Rental Property","","-81","This title is probably not clear enough. What exactly does “Dollar-by-Dollar” mean? Is it about exactly how much it costs to buy your first rental property? Maybe that’d be a better title: “Exactly How Much It Costs To Buy Your First Rental Property” He also dropped a great line in his intro: “If I had to start over today, this is exactly what I’d do, paycheck to paycheck”. That angle would probably make a good title, too: “How I’d Buy My First Rental Property (If I Had To Start Over)” Or, since the new year is just around the corner, we could drop “in 2026” in the title: “How I’d Buy My First Rental Property (In 2026)” TLDR: if your video fails at first, try a new angle. And always make sure your titles are clear. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"The Only Camera They Ever Made That Shoots Like Film","The Only (Entity) They Ever Made That (Achieves big goal)","+783","Scarcity – This video being about the “Only” camera that shoots like film adds scarcity to this title that makes this video and this camera way more interesting. Curiosity – This opens a loop and makes you wonder what this camera is."
"Yes, Your Makeup IS Aging You! | 8 Mistakes You Might Be Making & How To Fix Them","Yes, Your (Possession) IS (Unwanted result)! | 8 Mistakes You Might Be Making & How To Fix Them","+886","Confirms Suspicions – Confirming to your audience that what they suspect is true can be an excellent way to get them to click. “Yes, Your Makeup IS Aging You!” in this title gives them that feeling. List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Mistakes – Nobody wants to make mistakes, so mistakes often make for great video topics."
"She’s Shy. She Stutters. Then SHE SINGS… You Won’t Believe It!","(Objection). (Objection). Then (Action)… You Won’t Believe It!","+963","Curiosity – This title builds curiosity in two ways: There’s contrast between shy and stutters, and sings.



It opens a loop and makes you wonder what happens when she sings."
"Marriage Explained in 8 Minutes","(Entity) Explained in 8 Minutes","+1006","Time Frame – The time frame of 8 minutes makes this video feel more tangible and lets you know exactly what to expect. Curiosity – Attempting to explain something so important and complex in a short amount of time builds curiosity."
"This TINY Full Frame Camera Can Do It All.","","-81","I think what went wrong here is “can do it all” just isn’t specific enough. Here’s what this video is about: The one camera and lens he uses to shoot photo and video at the same time.



The accessories, settings, and workflow he uses to do that. Let’s brainstorm a few other titles. He could’ve focused on the constraint and scarcity that this is the single camera he uses to shoot photo and video at the same time: “The ONLY Camera I Use To Shoot Photo & Video” But what if people aren’t interested in shooting photo and video with one camera? I’m not in this niche, so I don’t know if that’s the case, but if it is, we could go with a title like this: “If I Could Have Only ONE Camera, It Would Be This One” People love videos about settings, so another option is to only focus the title on the settings: “The Settings I Use To Shoot Photo & Video With ONE Camera” Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"Every Major League Baseball Pitch, Explained","Every (Entity), Explained","+599","Desire – This creator’s audience is into MLB pitches. Epic – “Every” makes this video feel complete and kinda gives it an epic feel."
"LAWYER:  NEVER Answer These 3 Police Questions!","(Authority Figure): NEVER (Specific Action)","+671","Authority – Starting this title with “LAWYER” builds trust and credibility in the content. Warning – Warnings like this grab the audience’s attention and add a little bit of stress, which makes people more likely to click your video. List – The list here serves to make this video feel more tangible and interesting, and build curiosity."
"Mechanics HATE These Reset Tips – It Fixes 97% of Car Problems for FREE","(Authority Figures) HATE These (Solutions) – It Fixes 97% of (Entity) Problems for FREE","+6068","Authority & Controversy – By talking about the fact that mechanics (authority figures) hate these tips (controversy), it increases their value. Desire – This creator’s audience would love to fix their car problems for free."
"42 STITCHES You Need To Know And Wardrobe ORGANIZATION Ideas","42 (Specific moves) You Need To Know And (Goal) Ideas","+13571","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Desire – This creator’s audience is into stitches and wardrobe organization. Specific – This is about specific stitches, which are very tangible and feel like they’re likely to be helpful. This not the case for abstract things like tips, which may or may not be helpful. Note: I’m typically not a fan of having 2 subjects in a title. I wonder if this video would have done just as well (or even better) if the second part, “And Wardrobe ORGANIZATION Ideas,” was deleted."
"To Hit Driver Straight Always Do This Before Every Swing","To Hit (Achieve Goal) Always Do This Before Every (Action)","+393","Desire – This creator’s audience would love to always hit their driver straight. Curiosity – This opens a loop and makes you want to know what “This” is. Moment – Talking about a specific moment, like “Before Every Swing” in this case, builds even more curiosity and makes this title more interesting."
"Women getting upset at men doing what they asked for","(Group) getting (Unexpected emotion) at (Requested activity)","+412","Curiosity & Humor – This title builds curiosity and humor because it’s counterintuitive. If men do what the women ask for, wouldn’t they be happy instead of upset?"
"8 Things You Should NEVER Do AFTER Uploading a YouTube Video","8 Things You Should NEVER Do AFTER (Activity)","+884","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – Warnings like this do a great job of grabbing the audience’s attention and getting them to click. Moment – Videos about specific moments, like “AFTER Uploading a YouTube Video” in this case, builds curiosity and makes this title more interesting."
"A Once in a Lifetime Economic Reset is Coming.","A Once in a Lifetime (Epic event) is Coming.","+924","Epic – “Once in a Lifetime” makes this topic feel epic. Curiosity – Talking about things that are coming in the future is a simple way to build curiosity because: 1) nobody knows what the future holds, and 2) everybody wants to know what the future holds. Negativity – “Economic Reset” has a negative connotation here (and the thumbnail emphasizes that), and people eat up scary, dramatic events."
"The US is Falling Behind…","","-70","This is a tough one. It seems to be relatively on par with the other titles on this channel, but my guess is there’s one small difference. If somebody told me my baby was ugly, I wouldn’t listen to them. I don’t wanna hear it. I think that’s what’s happening here. I’m guessing this audience is proud Americans and they don’t want to hear the US is falling behind. Instead, it might be better to go with something more neutral, but still curiosity-building, like: “The US Economy Is About To Change Forever…” We could also use negativity, but just be negative about something else: “The Next 3 Months Look Terrifying…” These ideas still gets the same thought across without insulting the audience’s baby. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"These SMALL SHIFTS cut 90% of the drama w/ my kids","These SMALL SHIFTS cut 90% of (Problems)","+632","Negativity – This is all about solving a problem. Curiosity – There’s contrast and tension between “small shifts” (something small) and “cut 90% of the drama” (something big)."
"What Polyglots Understand That Most People Don’t","What (Authority figures) Understand That Most People Don’t","+1306","Authority – Polyglots are the professional athletes of the language learning world, so they bring trust and credibility to this video. FOMO – This makes you feel like you’re missing out on important information polyglots have. Curiosity – This opens a loop and makes you want to know what they understand."
"What Happens When You Grow a Tomato from a Burger King Whopper?","What Happens When You (Absurd action)?","+2845","Curiosity – This builds curiosity in two ways: It asks a question.



More powerfully, it asks an impossible or weird question. The absurdity of growing a tomato from a Burger King Whopper is what makes this video so interesting."
"This 1-Minute Introduction Makes You Unforgettable","This 1-Minute (Entity) Makes You (Desired state)","+15218","Time Frame – The time frame of “1-Minute” does two things here: It makes this introduction feel more tangible and interesting.



It makes it feel more achievable since it’s so short. Desire – This channel’s audience would love to be unforgettable. Curiosity – This builds curiosity in two ways: It opens a loop and makes you want to know what the framework is.



There’s contrast between “1-Minute Introduction” (short and easy) and becoming unforgettable (a huge benefit)."
